999	-0.374255251233969
998	-0.618397382184575
997	-1.21150681244188
996	-2.09364274924362
995	-3.2123370475118
994	-4.52235146244448
993	-5.98516072254937
992	-7.56829425094577
991	-9.24462735332042
990	-10.9916802272091
989	-12.7909594537335
988	-14.6273601669445
987	-16.4886361833053
986	-18.364938514097
985	-20.2484186590443
984	-22.1328909633286
983	-24.0135474383208
982	-25.8867183265678
981	-27.7496720132909
980	-29.6004484393304
979	-31.4377208202895
978	-33.2606811422584
977	-35.0689455392876
976	-36.8624762375318
975	-38.6415172655306
974	-40.4065415777527
973	-42.1582076223107
972	-43.8973237092044
971	-45.6248188090136
970	-47.3417186403357
969	-49.0491260936671
968	-50.7482051956073
967	-52.440167945168
966	-54.1262634579115
965	-55.8077689371972
964	-57.4859820579267
963	-59.1622143992686
962	-60.8377856007317
961	-62.5140179420732
960	-64.1922310628031
959	-65.8737365420889
958	-67.5598320548323
957	-69.2517948043927
956	-70.9508739063333
955	-72.6582813596646
954	-74.3751811909864
953	-76.1026762907955
952	-77.8417923776896
951	-79.5934584222477
950	-81.3584827344694
949	-83.1375237624686
948	-84.9310544607127
947	-86.7393188577419
946	-88.5622791797104
945	-90.39955156067
944	-92.2503279867095
943	-94.1132816734321
942	-95.9864525616789
941	-97.8671090366718
940	-99.7515813409558
939	-101.635061485903
938	-103.511363816695
937	-105.372639833056
936	-107.209040546267
935	-109.008319772791
934	-110.75537264668
933	-112.431705749055
932	-114.01483927745
931	-115.477648537555
930	-116.787662952488
929	-117.906357250757
928	-118.788493187558
927	-119.381602617816
926	-119.625744748766
925	-119.453720829707
924	-118.791983589513
923	-117.562525559675
922	-115.686050599216
921	-113.086697103373
920	-109.698452476249
919	-105.473141067752
918	-100.389467509666
917	-94.4620890578442
916	-87.7491850599299
915	-80.3566796588821
914	-72.4373800433802
913	-64.1839721350573
912	-55.8160278649421
911	-47.5626199566192
910	-39.6433203411174
909	-32.2508149400696
908	-25.5379109421554
907	-19.6105324903338
906	-14.5268589322476
905	-10.301547523751
904	-6.91330289662639
903	-4.3139494007841
902	-2.43747444032473
901	-1.20801641048693
900	-0.546279170292507
899	-0.374255251233983
898	-0.618397382184583
897	-1.21150681244205
896	-2.09364274924351
895	-3.2123370475118
894	-4.52235146244464
893	-5.98516072254972
892	-7.56829425094558
891	-9.2446273533204
890	-10.9916802272093
889	-12.7909594537335
888	-14.6273601669443
887	-16.4886361833055
886	-18.3649385140972
885	-20.2484186590443
884	-22.1328909633284
883	-24.0135474383213
882	-25.886718326568
881	-27.7496720132907
880	-29.6004484393303
879	-31.4377208202897
878	-33.2606811422582
877	-35.0689455392874
876	-36.8624762375318
875	-38.6415172655308
874	-40.4065415777524
873	-42.1582076223105
872	-43.8973237092046
871	-45.6248188090137
870	-47.3417186403355
869	-49.049126093667
868	-50.7482051956075
867	-52.4401679451678
866	-54.1262634579113
865	-55.8077689371972
864	-57.4859820579269
863	-59.1622143992684
862	-60.8377856007317
861	-62.5140179420734
860	-64.1922310628029
859	-65.8737365420887
858	-67.5598320548323
857	-69.2517948043929
856	-70.9508739063331
855	-72.6582813596644
854	-74.3751811909864
853	-76.1026762907957
852	-77.8417923776894
851	-79.5934584222477
850	-81.3584827344696
849	-83.1375237624684
848	-84.9310544607125
847	-86.7393188577419
846	-88.5622791797107
845	-90.3995515606698
844	-92.2503279867095
843	-94.1132816734321
842	-95.9864525616791
841	-97.8671090366715
840	-99.7515813409558
839	-101.635061485903
838	-103.511363816695
837	-105.372639833056
836	-107.209040546267
835	-109.008319772791
834	-110.75537264668
833	-112.431705749055
832	-114.01483927745
831	-115.477648537556
830	-116.787662952488
829	-117.906357250757
828	-118.788493187558
827	-119.381602617815
826	-119.625744748766
825	-119.453720829707
824	-118.791983589513
823	-117.562525559675
822	-115.686050599216
821	-113.086697103373
820	-109.698452476248
819	-105.473141067753
818	-100.389467509666
817	-94.4620890578435
816	-87.7491850599307
815	-80.3566796588821
814	-72.4373800433802
813	-64.1839721350564
812	-55.8160278649431
811	-47.5626199566193
810	-39.6433203411165
809	-32.2508149400688
808	-25.5379109421554
807	-19.6105324903338
806	-14.5268589322471
805	-10.3015475237514
804	-6.9133028966264
803	-4.31394940078409
802	-2.43747444032456
801	-1.20801641048703
800	-0.546279170292507
799	-0.374255251233983
798	-0.618397382184575
797	-1.21150681244205
796	-2.09364274924349
795	-3.21233704751194
794	-4.52235146244448
793	-5.98516072254972
792	-7.56829425094557
791	-9.2446273533206
790	-10.9916802272093
789	-12.7909594537335
788	-14.6273601669445
787	-16.4886361833055
786	-18.3649385140972
785	-20.2484186590443
784	-22.1328909633286
783	-24.013547438321
782	-25.886718326568
781	-27.7496720132907
780	-29.6004484393303
779	-31.4377208202897
778	-33.2606811422582
777	-35.0689455392876
776	-36.8624762375318
775	-38.6415172655308
774	-40.4065415777524
773	-42.1582076223107
772	-43.8973237092046
771	-45.6248188090137
770	-47.3417186403355
769	-49.049126093667
768	-50.7482051956075
767	-52.4401679451678
766	-54.1262634579114
765	-55.8077689371972
764	-57.4859820579269
763	-59.1622143992684
762	-60.8377856007317
761	-62.5140179420734
760	-64.1922310628029
759	-65.8737365420887
758	-67.5598320548323
757	-69.2517948043929
756	-70.9508739063331
755	-72.6582813596646
754	-74.3751811909866
753	-76.1026762907957
752	-77.8417923776894
751	-79.5934584222477
750	-81.3584827344696
749	-83.1375237624684
748	-84.9310544607125
747	-86.7393188577419
746	-88.5622791797106
745	-90.3995515606698
744	-92.2503279867094
743	-94.1132816734323
742	-95.9864525616791
741	-97.8671090366715
